Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm
1,"HARLEY, JL; BRIERLEY, JK",A METHOD OF ESTIMATION OF OXYGEN AND CARBON DIOXIDE CONCENTRATIONS IN THE LITTER LAYER OF BEECH WOODS,JOURNAL OF ECOLOGY,41,2,385,387,1953,,2,,,,N,3,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")"
2,"ZONN, SV; ALESHINA, AK",O GAZOOBMENE MEZHDU POCHVOI I ATMOSFEROI POD POLOGOM LESNYKH NASAZHDENII,DOKLADY AKADEMII NAUK SSSR,92,5,1035,1038,1953,,0,,,,N,3,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")"
3,"BOLLEN, WB; MORRISON, HE; CROWELL, HH",EFFECT OF FIELD AND LABORATORY TREATMENTS WITH BHC AND DDT ON NITROGEN TRANSFORMATIONS AND SOIL RESPIRATION,JOURNAL OF ECONOMIC ENTOMOLOGY,47,2,307,312,1954,,15,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
4,"STEVENSON, IL; CHASE, FE",MICROBIOLOGICAL STUDIES ON AN ORCHARD SOIL UNDER 3 CULTURAL PRACTICES,CANADIAN JOURNAL OF MICROBIOLOGY,3,2,351,358,1957,,5,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
5,"MAKAROV, BN",DIURNAL VARIATION OF SOIL RESPIRATION AND CARBONIC ACID GAS CONTENT IN THE SOIL-ADJOINING AIR LAYER,DOKLADY AKADEMII NAUK SSSR,118,2,389,391,1958,,1,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
6,"GALSTIAN, AS",THE ACTIVITY OF SOIL ENZYMES AND THE RATE OF SOIL RESPIRATION,DOKLADY AKADEMII NAUK SSSR,127,5,1099,1102,1959,,7,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
7,"DROBNIK, J",WARBURG V ESSEL FOR SOIL SAMPLES,NATURE,188,4751,686,686,1960,,5,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
8,"ELKAN, GH; MOORE, WEC","THE EFFECT OF PARTIAL STERILIZATION OF FIELD SOILS BY CHEMICALS UPON DIFFERENTIAL MICROBIAL COUNTS, CO2 ACTIVITY, AND RATES OF ORGANIC MATTER DECOMPOSITION",CANADIAN JOURNAL OF MICROBIOLOGY,6,3,339,347,1960,,4,N,Y,,N,3,9/26/2008,"Topic=(""soil respiration"")"
9,"JENSEN, G",EFFECTS OF TEMPERATURE AND SHIFTS IN TEMPERATURE ON THE RESPIRATION OF INTACT ROOT SYSTEMS,PHYSIOLOGIA PLANTARUM,13,4,822,830,1960,,16,,,10.1111/j.1399-3054.1960.tb08105.x,N,1,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
10,"DROBNIK, J",EFFECT OF TEMPERATURE ON SOIL RESPIRATION,FOLIA BIOLOGICA,7,2,132,&,1962,McKeldin QH301 .F66,16,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
11,"GOLLEY, F; ODUM, HT; WILSON, RF",STRUCTURE AND METABOLISM OF A PUERTO-RICAN RED MANGROVE FOREST IN MAY,ECOLOGY,43,1,9,&,1962,,124,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
12,"STEVENSON, IL",EFFECT OF DECOMPOSITION OF VARIOUS CROP PLANTS ON METABOLIC ACTIVITY OF SOIL MICROFLORA,CANADIAN JOURNAL OF MICROBIOLOGY,8,4,501,&,1962,,12,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
13,"BANAGE, WB",THE ECOLOGICAL IMPORTANCE OF FREE-LIVING SOIL NEMATODES WITH SPECIAL REFERENCE TO THOSE OF MOORLAND SOIL,JOURNAL OF ANIMAL ECOLOGY,32,1,133,140,1963,,41,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
14,"Maldague, M.E.; Hilger, F.",Observations fauntistique et microbiologiques dans quelques biotopes forestiers equatoriaux,"Soil organisms (ed: Doeksen, van der Drift)",,,368,374,1963,,,Y,Y,,N,2,9/26/2008,R&S1992
15,"POWELSON, RL; PATIL, SS","INFLUENCE OF OAT AND ALFALFA RESIDUES ON SOIL RESPIRATION, FUNGISTASIS, AND SURVIVAL OF VERTICULLIUM ALBO-ATRUM",PHYTOPATHOLOGY,53,10,1141,&,1963,,8,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
16,"GREENWOOD, DJ; GOODMAN, D",OXYGEN DIFFUSION + AEROBIC RESPIRATION IN SOIL SPHERES,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,15,8,579,&,1964,,20,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
17,Monteith,Crop photosynthesis and the flux of carbon dioxide below the canopy,Journal of Applied Ecology,1,,321,337,1964,,,Y,Y,,N,1,9/26/2008,R&S1992; B-L2004
18,"FLORENCE, RG",DECLINE OF OLD-GROWTH REDWOOD FORESTS IN RELATION TO SOME SOIL MICROBIOLOGICAL PROCESSES,ECOLOGY,46,02-Jan,52,64,1965,,20,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
19,"HINE, RB; TRUJILLO, EE",MANOMETRIC STUDIES ON REDISUE COLONIZATION IN SOIL BY PYTHIUM APHANIDERMATUM AND PHYTOPHTHORA PARASITICA,PHYTOPATHOLOGY,56,3,334,&,1966,,6,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
20,"WITKAMP, M",RATES OF CARBON DIOXIDE EVOLUTION FROM FOREST FLOOR,ECOLOGY,47,3,492,&,1966,,97,Y,Y,,N,1,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")"
21,"ZINKLER, D",VERGLEICHENDE UNTERSUCHUNGEN ZUR ATMUNGS-PHYSIOLOGIE VON COLLEMBOLEN (APTERYGOTA) UND ANDEREEN BODENKLEINARTHROPODEN,ZEITSCHRIFT FUR VERGLEICHENDE PHYSIOLOGIE,52,2,99,&,1966,,53,,,,N,3,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
22,"CAWSE, PA",EFFECTS OF LOW SUB-STERILISING DOSES OF GAMMA RADIATION ON CARBON NITROGEN AND PHOSPHORUS IN FRESH SOILS,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,18,9,388,&,1967,,11,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
23,"GILBERT, RG; GRIEBEL, GE; MENZIES, JD",INFLUENCE OF VOLATILE SUBSTANCES FROM ALFALFA ON SOIL RESPIRATION AND SURVIVAL OF SOIL FUNGI,PHYTOPATHOLOGY,57,8,812,&,1967,,5,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
24,"Repnevskaya, M.A.",Liberation of CO2 from soil in the pine stands of the Kola peninsula,SOVIET SOIL SCIENCE,1967,,1067,1072,1967,,,Y,Y,,N,1,9/26/2008,R&S1992
